case,location,date,fatalities,injured,total_victims,location2,age_of_shooter,prior_signs_mental_health_issues,race,gender,latitude,longitude,type,year
Las Vegas Strip massacre,Las Vegas Nevada,10/01/2017,58,546,604,Other,64,TBD,White,M,36.095739,-115.171544,Mass,2017
Orlando nightclub massacre,Orlando  Florida,06/12/2016,49,53,102,Other,29,Unclear,Other,M,28.519718,-81.376777,Mass,2016
Virginia Tech massacre,Blacksburg  Virginia,4/16/2007,32,23,55,School,23,Yes,Asian,Male,37.2295733,-80.4139393,Mass,2007
Sandy Hook Elementary massacre,Newtown  Connecticut,12/14/2012,27,2,29,School,20,Yes,white,Male,41.4123225,-73.31142358,Mass,2012
Texas First Baptist Church massacre,Sutherland Springs Texas,11/05/2017,26,20,46,Religious,26,Yes,White,M,29.273282,-98.056488,Mass,2017
Luby's massacre,Killeen  Texas,10/16/1991,24,20,44,Other,35,No,white,Male,31.1171194,-97.7277959,Mass,1991
El Paso Walmart mass shooting,El Paso Texas,08/03/2019,22,26,48,Workplace,21,-,White,M,31.771068,-106.375655,Mass,2019
San Ysidro McDonald's massacre,San Ysidro California,7/18/1984,22,19,41,Other,41,Yes,white,Male,32.5520013,-117.0430813,Mass,1984
Marjory Stoneman Douglas High School shooting,Parkland  Florida,2/14/18,17,17,34,School,19,Yes,White,M,26.30483,-80.269511,Mass,2018
United States Postal Service shooting,Edmond  Oklahoma,8/20/1986,15,6,21,Workplace,44,Unclear,white,Male,35.6672015,-97.42937037,Mass,1986
San Bernardino mass shooting,San Bernardino California,12/02/2015,14,21,35,Workplace ,28,Unclear,Other,Male & Female,34.075961,-117.27789,Mass,2015
Binghamton shootings,Binghamton  New York,04/03/2009,14,4,18,Other,41,Yes,Asian,Male,42.099802,-75.917723,Mass,2009
Columbine High School massacre,Littleton  Colorado,4/20/1999,13,24,37,School,17,Yes,white,Male,39.604034,-105.074103,Mass,1999
Fort Hood massacre,Fort Hood Texas,11/05/2009,13,31,44,Military,39,Unclear,Other,Male,31.135557,-97.783664,Mass,2009
Aurora theater shooting,Aurora  Colorado,7/20/2012,12,70,82,Other,24,Yes,white,Male,39.706038,-104.820594,Spree,2012
Thousand Oaks nightclub shooting,Thousand Oaks California,11/07/2018,12,22,34,Other,28,Yes,-,M,34.176946,-118.874793,Mass,2018
Washington Navy Yard shooting,Washington  D.C.,9/16/2013,12,8,20,Military,34,Yes,Black,Male,38.874981,-76.99453,Mass,2013
Virginia Beach municipal building shooting,Virginia Beach Virginia,5/31/19,12,4,16,Workplace,40,TBD,Black,M,36.75442,-76.060378,Mass,2019
Tree of Life synagogue shooting,Pittsburgh  Pennsylvania,10/27/18,11,6,17,Religious,46,-,White,M,40.443898,-79.921398,Mass,2018
Red Lake massacre,Red Lake Minnesota,3/21/2005,10,5,15,School,16,Yes,Native American,Male,47.876346,-95.0169401,Mass,2005
Santa Fe High School shooting,Santa Fe Texas,5/18/18,10,13,23,School,17,-,White,M,29.392825,-95.141972,Mass,2018
GMAC massacre,Jacksonville  Florida,6/18/1990,10,4,14,Other,42,No,black,Male,30.3321838,-81.655651,Mass,1990
Westroads Mall shooting,Omaha  Nebraska,12/05/2007,9,4,13,Other,19,Yes,white,Male,41.265719,-96.067495,Spree,2007
Charleston Church Shooting,Charleston South Carolina,6/17/2015,9,1,10,Religious,21,Unclear,White,Male,32.788387,-79.933143,Mass,2015
Dayton entertainment district shooting,Dayton  Ohio,08/04/2019,9,27,36,Other,24,-,White,M,39.757312,-84.184947,Mass,2019
Umpqua Community College shooting,Roseburg  Oregon,10/01/2015,9,9,18,School,26,Unclear,Other,Male,43.289538,-123.333193,Mass,2015
Hartford Beer Distributor shooting,Manchester  Connecticut,08/03/2010,9,2,11,Workplace,34,No,black,Male,41.798764,-72.570068,Mass,2010
Atlanta day trading spree killings,Atlanta  Georgia,7/29/1999,9,13,22,Workplace,44,Yes,white,Male,33.850116,-84.377839,Mass,1999
Standard Gravure shooting,Louisville  Kentucky,9/14/1989,9,12,21,Workplace,47,Yes,white,Male,38.2542376,-85.759407,Mass,1989
101 California Street shootings,San Francisco California,07/01/1993,9,6,15,Other,55,No,white,Male,37.792968,-122.397973,Mass,1993
Seal Beach shooting,Seal Beach California,10/12/2011,8,1,9,Other,42,Yes,white,Male,33.741176,-118.1046356,Mass,2011
Goleta postal shootings,Goleta  California,1/30/2006,8,0,8,Workplace,44,Yes,white,Female,34.425571,-119.866069,Mass,2006
Carthage nursing home shooting,Carthage North Carolina,3/29/2009,8,3,11,Other,45,Yes,white,Male,35.333434,-79.414592,Mass,2009
Wedgwood Baptist Church shooting,Fort Worth Texas,9/15/1999,8,7,15,Religious,47,Yes,white,Male,32.664511,-97.384246,Mass,1999
Welding shop shooting,Miami  Florida,8/20/1982,8,3,11,Other,51,Yes,white,Male,25.796491,-80.226683,Mass,1982
Capitol Hill massacre,Seattle  Washington,3/25/2006,7,2,9,Other,28,No,white,Male,47.6229,-122.3165,Mass,2006
Odessa-Midland shooting spree,Odessa  Texas,8/31/19,7,25,32,Other,36,yes,White,M,31.925974,-102.2796,Spree,2019
Accent Signage Systems shooting,Minneapolis  Minnesota,9/27/2012,7,1,8,Workplace,36,Yes,white,Male,44.977425,-93.310408,Mass,2012
ESL shooting,Sunnyvale  California,2/16/1988,7,4,11,Workplace,39,Yes,white,Male,37.3688301,-122.0363496,Mass,1988
Sikh temple shooting,Oak Creek Wisconsin,08/05/2012,7,3,10,Religious,40,Yes,white,Male,42.8858503,-87.8631362,Mass,2012
Xerox killings,Honolulu  Hawaii,11/02/1999,7,0,7,Workplace,40,Yes,Asian,Male,21.320063,-157.876462,Spree,1999
Hialeah apartment shooting,Hialeah  Florida,7/26/2013,7,0,7, Other,42,Unclear,Latino,Male,25.864338,-80.311775,Mass,2013
Wakefield massacre,Wakefield  Massachusetts,12/26/2000,7,0,7,Workplace,42,Yes,white,Male,42.500429,-71.075913,Mass,2000
Oikos University killings,Oakland  California,04/02/2012,7,3,10,School,43,Yes,Asian,Male,37.8043808,-122.2708166,Mass,2012
Living Church of God shooting,Brookfield  Wisconsin,03/12/2005,7,4,11,Religious,44,Yes,white,Male,43.0605671,-88.1064787,Spree,2005
Lockheed Martin shooting,Meridian  Mississippi,07/08/2003,7,8,15,Workplace,48,Yes,white,Male,32.410842,-88.634539,Mass,2003
Trolley Square shooting,Salt Lake City Utah,02/12/2007,6,4,10,Other,18,Unclear,white,Male,40.7606467,-111.89109,Mass,2007
Crandon shooting,Crandon  Wisconsin,10/07/2007,6,1,7,Other,20,Unclear,white,Male,45.5719072,-88.9028922,Mass,2007
Isla Vista mass murder,Santa Barbara California,5/23/2014,6,13,19,School,22,Yes,White,M,34.436283,-119.8714406,Mass,2014
Tucson shooting,Tucson  Arizona,01/08/2011,6,13,19,Other,22,Yes,white,Male,32.335941,-110.975132,Mass,2011
Santa Monica rampage,Santa Monica California,06/07/2013,6,3,9, Other,23,Yes,White,Male,34.008617,-118.494754,Mass,2013
Atlantis Plastics shooting,Henderson  Kentucky,6/25/2008,6,1,7,Workplace,25,No,white,Male,37.76721,-87.5573742,Spree,2008
Stockton schoolyard shooting,Stockton  California,1/17/1989,6,29,35,School,26,Yes,white,Male,37.9577016,-121.2907796,Mass,1989
Walter Rossler Company massacre,Corpus Christi Texas,04/03/1995,6,0,6,Workplace,28,No,unclear,Male,27.828025,-97.548198,Mass,1995
University of Iowa shooting,Iowa City Iowa,11/01/1991,6,1,7,School,28,Unclear,Asian,Male,41.6606893,-91.5302214,Spree,1991
Amish school shooting,Lancaster County Pennsylvania,10/02/2006,6,5,11,School,32,No,white,Male,39.9589,-76.0806,Mass,2006
Long Island Rail Road massacre,Garden City  New York,12/07/1993,6,19,25,Other,35,Yes,black,Male,40.7267682,-73.6342955,Spree,1993
Dallas nightclub shooting,Dallas  Texas,6/29/1984,6,1,7,Other,39,Yes,white,Male,32.925166,-96.838676,Mass,1984
Seattle cafe shooting,Seattle  Washington,5/20/2012,6,1,7,Other,40,Yes,white,Male,47.6038321,-122.3300624,Mass,2012
