state,year,fatalities
Florida,1982,8
California,1984,22
Texas,1984,6
Oklahoma,1986,15
Florida,1987,6
California,1988,7
Kentucky,1989,9
California,1989,6
Florida,1990,10
Texas,1991,24
Iowa,1991,6
Michigan,1991,5
New York,1992,5
California,1992,4
California,1993,9
New York,1993,6
Colorado,1993,4
North Carolina,1993,4
Washington,1994,5
Texas,1995,6
Florida,1996,6
California,1997,5
South Carolina,1997,4
Arkansas,1998,5
Connecticut,1998,5
Oregon,1998,4
Colorado,1999,13
Georgia,1999,9
Texas,1999,8
Hawaii,1999,7
Florida,1999,5
Massachusetts,2000,7
Illinois,2001,5
Mississippi,2003,7
Ohio,2004,5
Minnesota,2005,10
Wisconsin,2005,7
California,2006,8
Washington,2006,7
Pennsylvania,2006,6
Virginia,2007,32
Nebraska,2007,9
Utah,2007,6
Wisconsin,2007,6
Kentucky,2008,6
Missouri,2008,6
Illinois,2008,5
New York,2009,14
Texas,2009,13
North Carolina,2009,8
Washington,2009,4
Connecticut,2010,9
California,2011,8
Arizona,2011,6
Nevada,2011,5
Connecticut,2012,27
Colorado,2012,12
Minnesota,2012,7
Wisconsin,2012,7
California,2012,7
Washington,2012,6
Georgia,2012,5
Washington,2013,12
Florida,2013,7
California,2013,6
Washington,2013,5
New York,2013,5
California,2014,10
Washington,2014,5
California,2014,10
Texas,2014,3
California,2015,14
South Carolina,2015,9
Oregon,2015,9
Tennessee,2015,5
Wisconsin,2015,3
Colorado,2015,6
Colorado,2015,6
Florida,2016,49
Michigan,2016,6
Washington,2016,5
Texas,2016,5
Louisiana,2016,3
Kansas,2016,3
Nevada,2017,58
Texas,2017,26
Florida,2017,10
California,2017,11
Florida,2017,10
Pennsylvania,2017,3
Maryland,2017,3
California,2017,11
California,2017,11
Ohio,2017,3
Colorado,2017,3
Florida,2018,17
California,2018,20
Pennsylvania,2018,15
Texas,2018,10
Maryland,2018,8
California,2018,20
Pennsylvania,2018,15
Tennessee,2018,4
Maryland,2018,8
Ohio,2018,3
Illinois,2018,3
California,2018,20
Texas,2019,29
Virginia,2019,12
Ohio,2019,9
Texas,2019,29
Florida,2019,8
Illinois,2019,5
New Jersey,2019,4
California,2019,3
Pennsylvania,2019,3
Florida,2019,8
Wisconsin,2020,5
